run,round,source_id,positive_rec,negative_rec,rec_difference,positive_reward,negative_reward
midasheng_v2,1,random440_deear_008,-3.7297255039215087,-3.7367673873901364,0.007041883468627663,1.665071135958815,0.5176926832442098
midasheng_v2,1,random440_expressivespeech_070,-2.6445482730865475,-2.691800832748413,0.04725255966186559,3.7988702166615944,-0.407287833258423
midasheng_v2,1,random440_expressivespeech_293,-2.9662119865417482,-2.965172505378723,-0.0010394811630254353,2.0402591082322408,2.078206737588796
midasheng_v2,1,random440_deear_069,-2.497932016849518,-2.5103930115699766,0.012460994720458807,3.146945114163016,2.140149102408762
midasheng_v2,1,random440_expressivespeech_129,-3.9725746154785155,-3.953313875198364,-0.019260740280151456,0.9559461722598703,1.6244930110657931
midasheng_v2,1,random440_expressivespeech_123,-2.2729453444480896,-2.2816903829574584,0.008745038509368808,3.1731155497502304,2.672848116769626
midasheng_v2,1,random440_expressivespeech_078,-2.8728880405426027,-2.8745757579803466,0.0016877174377438742,2.0352121224716546,2.107021630285855
midasheng_v2,1,random440_expressivespeech_067,-3.2904889345169064,-3.2953627824783327,0.004873847961426314,1.8879605868084168,1.131183142339148
midasheng_v2,1,random440_deear_033,-3.1629650831222533,-3.176008868217468,0.013043785095214755,2.201468966252564,1.1175088797058117
midasheng_v2,1,random440_expressivespeech_301,-3.5130203723907467,-3.509312295913696,-0.003708076477050515,1.1195238867371393,1.3912421753763098
midasheng_v2,1,random440_expressivespeech_054,-2.504077696800232,-2.4995646238327023,-0.004513072967529563,2.127697526986662,2.928025407615454
midasheng_v2,1,random440_expressivespeech_323,-3.4998692035675045,-3.4847837448120114,-0.015085458755493164,-0.011928896529928956,2.1078345330392843
midasheng_v2,1,random440_expressivespeech_255,-2.833503270149231,-2.833997583389282,0.0004943132400510031,2.668871491465956,2.2747690138694328
midasheng_v2,1,random440_expressivespeech_021,-4.534780216217041,-4.552988576889038,0.018208360671996715,0.1618764495630401,-1.3047662120832162
midasheng_v2,1,random440_deear_095,-2.7647952795028683,-2.7723139762878417,0.007518696784973411,3.066479896198395,2.004467404414536
midasheng_v2,1,random440_deear_039,-4.994939565658569,-4.976208066940307,-0.018731498718262074,-2.047090490982801,0.07183245159864216
midasheng_v2,1,random440_expressivespeech_120,-3.2113719940185543,-3.21812219619751,0.006750202178955611,2.254838668128455,1.3504263029509886
midasheng_v2,1,random440_expressivespeech_124,-3.5761986732482907,-3.5728062152862545,-0.003392457962036133,1.510223922150276,1.3735015704099707
midasheng_v2,1,random440_expressivespeech_291,-3.556942176818848,-3.558279490470886,0.0013373136520380413,1.3385693527796008,1.1512241019273437
midasheng_v2,1,random440_expressivespeech_333,-4.115268993377685,-4.111543989181518,-0.00372500419616717,0.310387317518959,0.5872739223175023
midasheng_v2,1,random440_deear_031,-2.527269792556763,-2.530851411819458,0.0035816192626949572,2.6268930855928594,2.567598775314516
midasheng_v2,1,random440_expressivespeech_303,-4.736341094970703,-4.730782413482666,-0.005558681488036399,-0.6260613875445868,-0.2415767513787555
midasheng_v2,1,random440_expressivespeech_112,-3.6563000679016113,-3.6586005210876467,0.002300453186035334,1.1544592268753149,0.6691988749541387
midasheng_v2,1,random440_deear_055,-3.4609824657440185,-3.4964754581451416,0.035492992401123136,6.453022591484507,-1.3080380718781512
midasheng_v2,1,random440_expressivespeech_251,-3.109241414070129,-3.0905296087265013,-0.01871180534362793,1.5274749864611552,2.8827863246229395
midasheng_v2,1,random440_deear_063,-2.936383008956909,-2.8989364862442013,-0.037446522712707875,-0.28860002454635203,4.134746024849274
midasheng_v2,1,random440_expressivespeech_263,-3.0760143280029295,-3.083148717880249,0.007134389877319514,2.1218905010671416,1.4372433428860816
midasheng_v2,1,random440_deear_074,-3.2281491994857787,-3.2323705673217775,0.004221367835998802,2.0020714856253665,1.4884810359501464
midasheng_v2,1,random440_expressivespeech_008,-3.5410998344421385,-3.5036266088485717,-0.037473225593566806,0.32120366459008576,3.2343946237996652
midasheng_v2,1,random440_expressivespeech_085,-2.516269052028656,-2.518963897228241,0.002694845199584961,2.922851437277729,2.6310614926655322
midasheng_v2,1,random440_deear_057,-3.1026570320129396,-3.103338837623596,0.0006818056106565606,2.5512104557240582,1.8454487379987567
midasheng_v2,1,random440_expressivespeech_205,-3.651880002021789,-3.6297926902770996,-0.022087311744689586,-1.2236710258291836,2.252717348424163
midasheng_v2,1,random440_deear_006,-2.954448127746582,-2.9641692876815795,0.009721159934997559,3.124942581420566,1.4377758106090783
midasheng_v2,1,random440_expressivespeech_082,-3.479369115829468,-3.490249967575073,0.010880851745604936,1.9945772997541797,0.6195267175281391
midasheng_v2,1,random440_deear_011,-3.4403651714324948,-3.446619844436645,0.006254673004150391,1.1571492354056652,1.0641186863880323
midasheng_v2,1,random440_expressivespeech_298,-4.732919597625733,-4.722188282012939,-0.010731315612793502,-1.0413105842384658,0.038019931060288226
midasheng_v2,1,random440_expressivespeech_071,-3.019362473487854,-3.030590295791626,0.011227822303772061,2.507530702786666,1.3126259287006006
midasheng_v2,1,random440_expressivespeech_022,-5.925087833404541,-5.9239521503448485,-0.0011356830596929157,-2.384958250096553,-2.2489785854823
midasheng_v2,1,random440_expressivespeech_099,-3.174668216705322,-3.1554796457290646,-0.01918857097625759,0.8024517099711803,2.8105206496325734
midasheng_v2,2,random440_deear_008,-3.73017463684082,-3.732674694061279,0.0025000572204589844,0.44933859770598694,0.8311927174040784
midasheng_v2,2,random440_expressivespeech_070,-2.650870108604431,-2.656040358543396,0.005170249938964755,2.8434905854166397,2.298979640564202
midasheng_v2,2,random440_expressivespeech_293,-2.96011962890625,-2.970510172843933,0.010390543937683017,2.4756894598463974,1.364422366127593
midasheng_v2,2,random440_deear_069,-2.4993348360061645,-2.526959204673767,0.02762436866760254,3.553206214832446,0.9629676662370337
midasheng_v2,2,random440_expressivespeech_129,-3.976986217498779,-3.9694347858428953,-0.007551431655883789,0.2720049967141551,0.9965403191326816
midasheng_v2,2,random440_expressivespeech_123,-2.2719742178916933,-2.286329209804535,0.01435499191284162,3.591053616165827,2.143528292053687
