round,rank,step,candidate_index,candidate_id,frames,padded,forward_loss_host_seconds,backward_sync_host_seconds,candidate_elapsed_seconds
0,0,10,1,random440_deear_045::1,22,False,3.5642731189727783,6.731848239898682,10.286316497251391
0,0,10,2,random440_deear_045::2,29,False,4.460693359375,6.569591283798218,11.094261979684234
0,0,10,3,random440_deear_045::3,35,False,5.453217506408691,10.069538593292236,15.615318167954683
0,0,11,0,random440_expressivespeech_139::0,104,False,18.200748443603516,26.230974674224854,44.4127450119704
0,0,11,1,random440_expressivespeech_139::1,89,False,16.58281660079956,21.26010298728943,38.26235048472881
0,0,11,2,random440_expressivespeech_139::2,110,False,19.470889568328857,29.198325395584106,48.65955111384392
0,0,11,3,random440_expressivespeech_139::3,113,False,19.628329515457153,40.69728994369507,60.3072344660759
0,0,12,0,random440_deear_053::0,14,False,2.1259469985961914,3.0673460960388184,5.177631443366408
0,0,12,1,random440_deear_053::1,9,False,1.3590061664581299,1.9516632556915283,3.3005777802318335
0,0,12,2,random440_deear_053::2,9,False,1.8521504402160645,2.862859010696411,4.702415043488145
0,0,12,3,random440_deear_053::3,19,False,3.8354837894439697,8.517228364944458,12.334937555715442
0,0,13,0,random440_expressivespeech_104::0,45,False,6.827270746231079,13.190927982330322,19.99737865291536
0,0,13,1,random440_expressivespeech_104::1,59,False,9.738223791122437,13.533504486083984,23.25807974860072
0,0,13,2,random440_expressivespeech_104::2,47,False,8.712169170379639,10.615147590637207,19.316221488639712
0,0,13,3,random440_expressivespeech_104::3,46,False,7.07446551322937,20.124690532684326,27.183338068425655
0,0,14,0,random440_expressivespeech_194::0,21,False,3.136495351791382,4.601762533187866,7.719896730035543
0,0,14,1,random440_expressivespeech_194::1,19,False,3.47023344039917,5.8480706214904785,9.30407502874732
0,0,14,2,random440_expressivespeech_194::2,21,False,3.1416702270507812,4.662843942642212,7.788714053109288
0,0,14,3,random440_expressivespeech_194::3,17,False,2.5722198486328125,9.005619525909424,11.636583097279072
0,0,15,0,random440_expressivespeech_277::0,57,False,12.572573184967041,12.849079370498657,25.402423562482
0,0,15,1,random440_expressivespeech_277::1,55,False,9.075767993927002,13.687075138092041,22.98581524193287
0,0,15,2,random440_expressivespeech_277::2,46,False,7.336571455001831,12.453677654266357,19.776071479544044
0,0,15,3,random440_expressivespeech_277::3,48,False,8.563867330551147,18.31554102897644,26.863805696368217
