round,stage,seconds
8,tts_grpo,4150.3767224196345
8,tts_sft,96.72016137838364
8,caption_reload,77.33360430411994
8,tts_reload,166.2049226667732
9,audio_caption_quality,51.35057166032493
9,audio_caption_rollout,2201.579403527081
9,audio_tts_anchor_reconstruction,176.89500135555863
9,audio_tts_reconstruction,184.39721348695457
9,caption_anchor_reconstruction,172.6036931835115
9,caption_audio_quality,68.20443794690073
9,caption_caption_reconstruction,209.06897168792784
9,caption_tts_rollout,5047.474971503019
9,sftcal_caption_anchor,151.3387078717351
9,sftcal_caption_current,162.14252754114568
9,sftcal_tts_anchor,81.47377477400005
9,sftcal_tts_current,99.34026068076491
9,caption_grpo,2266.47850253433
9,caption_sft,164.40875730663538
9,tts_grpo,4018.2987120170146
9,tts_sft,92.70813290961087
9,caption_reload,81.59002530574799
9,tts_reload,45.69293316081166
