trajectory,round,bleu_4,rouge_l,meteor,spider,fense,bertscore,clapscore,paraspeechcaps,stylecap
midasheng_v1,r6,1.1760235964767551e-06,0.2772147407370819,0.09885133207634073,0.05749596891532837,0.8786074432423229,0.6914022564888,,0.29754565398306304,0.413560411311054
midasheng_v1,r7,1.1825688832998276e-06,0.28329318073013116,0.1004560225067994,0.05882928618389008,0.8816723951841031,0.6919629573822021,,0.3014942219444186,0.41420308483290486
midasheng_v1,r8,1.1841170639083492e-06,0.2829029943871836,0.1004653516581992,0.059132559928319874,0.883644241962858,0.6920642256736755,,0.30104655585389545,0.41323907455012854
midasheng_v1,r9,1.1337509220186086e-06,0.2835639147825801,0.1016589941717877,0.0591126133541693,0.8837431234513743,0.6916214227676392,,0.3122992138430959,0.4129177377892031
midasheng_v1,r10,1.1157613276701835e-06,0.2865580348880061,0.10226617776637614,0.05986444317128947,0.8838475110680406,0.6928479075431824,,0.30875462152806726,0.4170951156812339
midasheng_v1,r11,1.0597507551879524e-06,0.2857909710092682,0.10277619635646287,0.0597179806611631,0.8866383976488919,0.6921788454055786,,0.30869296132429014,0.41388174807197947
midasheng_v1,r12,9.973446881773415e-07,0.28471754817459316,0.10198180681686035,0.059402485311123264,0.8850137558608799,0.691557765007019,,0.3098646352305179,0.41516709511568123
midasheng_rewardv2,base,1.165828070677223e-06,0.2645554464881846,0.09364280243789828,0.053341088483191836,0.8716476425659848,0.6908627152442932,,0.2337674140767881,0.4045629820051414
midasheng_rewardv2,r0,1.1034152977448333e-06,0.26999432182561317,0.09419077349403754,0.054860945500804524,0.8743168696892454,0.6895620822906494,,0.2329942493719006,0.40359897172236503
midasheng_rewardv2,r1,1.185185556984481e-06,0.26974345250231263,0.09433836293285319,0.05467185098220416,0.873086344960936,0.6926571726799011,,0.23388691186947455,0.40424164524421596
midasheng_rewardv2,r2,1.1695220945547986e-06,0.26780088342395314,0.09353290264676109,0.054416864105195605,0.8732328053457618,0.6899299621582031,,0.23337400183255075,0.40681233933161953
midasheng_rewardv2,r3,1.1284671837322377e-06,0.26889400367688693,0.09399010447925825,0.05451458615779969,0.874017371255045,0.6899284720420837,,0.22654625242653736,0.40424164524421596
midasheng_rewardv2,r4,1.1128858272162656e-06,0.2698014536893781,0.09442050728967284,0.05484522504772144,0.8748294346656375,0.6899964809417725,,0.2310210052752006,0.4064910025706941
midasheng_rewardv2,r5,1.0683543363997527e-06,0.2691760789043459,0.09439147116292566,0.05455133220518298,0.8737348503649945,0.6914123296737671,,0.23698220315254745,0.4032776349614396
