round_index,branch,id,valid_candidates,scores,mean,span,std,top2_gap,pairwise_gap
1,caption,random440_expressivespeech_121,4,"[-1.060975880107435, -1.0452910081803566, -1.0189697947207605, -1.0393501239595935]",-1.0411467017420364,0.042006085386674386,0.015045053067870623,0.020380329238832928,0.02199319006346438
1,caption,random440_deear_026,4,"[-1.1931066502002068, -1.2028976221918128, -1.2453818854992278, -1.2817001097137108]",-1.2307715669012396,0.08859345951350406,0.03536516869144115,0.009790971991606057,0.051377440307987854
1,caption,random440_deear_025,4,"[-1.6714676220358038, -1.6380171371934316, -1.5090979615536828, -1.7761648482875898]",-1.648686892267627,0.267066886733907,0.09535264046029861,0.12891917563974875,0.13910852417401554
1,caption,random440_expressivespeech_072,4,"[-1.699305918358732, -1.7215782214188948, -1.749944510840578, -1.6799514949088916]",-1.7126950363817741,0.06999301593168639,0.026066464631217902,0.019354423449840397,0.038708558475870326
1,caption,random440_expressivespeech_207,4,"[-1.5999500812395127, -1.608246831834549, -1.8676936008414486, -1.696517613789183]",-1.6931020319261734,0.267743519601936,0.10767029887006896,0.008296750595036428,0.14858355679340698
1,caption,random440_deear_019,4,"[-1.48623193520325, -1.458828291433747, -1.5214772713115963, -1.4852428311569383]",-1.487945082276383,0.06264897987784934,0.022262256424685576,0.02641453972319141,0.031489340613309956
1,caption,random440_deear_079,4,"[-1.3755990713834763, -1.4652708389485876, -1.3881412369509538, -1.4615613795816897]",-1.422643131716177,0.0896717675651113,0.041034363025977745,0.012542165567477559,0.05707257422101164
1,caption,random440_expressivespeech_209,4,"[-1.4937185637536459, -1.3945477624656633, -1.2140641645237338, -1.2672739929694217]",-1.3424011209281161,0.2796543992299121,0.10923678462560732,0.05320982844568789,0.1610394945309963
1,caption,random440_expressivespeech_143,4,"[-1.8432978687924333, -1.8842858995776623, -1.8325727144547272, -1.8157931881432887]",-1.843987417742028,0.06849271143437363,0.025247045123213824,0.01677952631143853,0.036033881440137826
1,caption,random440_expressivespeech_149,4,"[-1.4854100369630032, -1.4828266630938742, -1.4936151081346907, -1.542537269051536]",-1.501097269310776,0.059710605957661755,0.024254693487267595,0.002583373869128991,0.031222814840778785
1,caption,random440_expressivespeech_012,4,"[-1.907435647211969, -1.8344115496147424, -1.8075525337917497, -1.824469976432738]",-1.8434674267627997,0.09988311342021916,0.03815994233001196,0.016917442640988156,0.051598485573777
1,caption,random440_expressivespeech_239,4,"[-1.5407671515495167, -1.6564809487535967, -1.6715057689580135, -1.5499779940582812]",-1.604682965829852,0.1307386174084968,0.05963678249310625,0.009210842508764472,0.08311980115346766
1,caption,random440_deear_005,4,"[-1.44845156557858, -1.593170506414026, -1.5363127139862627, -1.6409323359257542]",-1.5547167804761557,0.19248077034717426,0.07166382734786776,0.08786114840768278,0.10571668391154769
1,caption,random440_expressivespeech_316,4,"[-1.2564040839672088, -1.1785877645015717, -1.2555146728952726, -1.2024753957986831]",-1.223245479290684,0.07781631946563716,0.03378794821543204,0.023887631297111467,0.04774803924891683
1,caption,random440_expressivespeech_001,4,"[-1.8293718511704355, -1.7184722367674112, -1.6875285194255412, -1.61114682815969]",-1.7116298588807695,0.21822502301074564,0.07840234197699861,0.07638169126585126,0.11426979772901784
1,caption,random440_expressivespeech_081,4,"[-2.1458631554996828, -2.1839465425146045, -2.11854443026823, -2.2130441201661597]",-2.1653495621121692,0.09449968989792978,0.03602450193149701,0.027318725231452845,0.053597076118118515
1,caption,random440_expressivespeech_191,4,"[-1.7831615507311653, -1.8834982801927254, -1.8075293057772797, -1.8492505808826536]",-1.830859929395956,0.10033672946156003,0.03849826412448689,0.024367755046114326,0.05712191058167567
1,caption,random440_expressivespeech_242,4,"[-1.9364118864323245, -1.9235470534476917, -1.9237294108897913, -1.906100742489798]",-1.9224472733149014,0.03031114394252654,0.010782774256154896,0.01744631095789373,0.01518596487827987
1,caption,random440_expressivespeech_136,4,"[-1.4588348881807178, -1.457359375373926, -1.4568163346266374, -1.4432593632955104]",-1.454067490369198,0.015575524885207415,0.006283636374947897,0.013556971331126988,0.007878269233818477
1,caption,random440_expressivespeech_243,4,"[-1.9223899259814061, -1.8478134375764057, -1.9110034511541016, -1.8634858261502814]",-1.8861731602155487,0.07457648840500042,0.03128250676725407,0.01567238857387565,0.04520784836980359
1,caption,random440_deear_052,4,"[-1.6347137880822022, -1.6141450511291624, -1.6020221131543317, -1.8565394846101602]",-1.676855109243964,0.2545173714558284,0.1043969520538214,0.012122937974830661,0.13068680855342085
1,caption,random440_expressivespeech_184,4,"[-1.7943142051663017, -1.8461295530032658, -1.7914151646546088, -1.931989927914401]",-1.8409622126846443,0.14057476325979223,0.056885175836592375,0.002899040511692874,0.07892327293605679
1,caption,random440_expressivespeech_015,4,"[-1.2102598730125464, -1.1873518647335004, -1.2336009402060881, -1.3469866431842092]",-1.244549830284086,0.15963477845070884,0.06136079217196621,0.022908008279046044,0.08370756709094469
1,caption,random440_deear_050,4,"[-1.523918008057323, -1.4871495864334672, -1.4181532344548031, -1.4953975687812393]",-1.4811545994317081,0.10576477360251979,0.03884804741321448,0.06899635197866405,0.054257050525888584
1,caption,random440_deear_066,4,"[-1.8086766638443805, -1.605764067848213, -1.6306009636027738, -1.6513303972315043]",-1.674093023131718,0.2029125959961675,0.07935883513754559,0.024836895754560828,0.10491120360287216
1,caption,random440_expressivespeech_084,4,"[-1.4726174137904309, -1.4737786060431972, -1.5933778792386875, -1.5109815755859017]",-1.5126888686645543,0.12076046544825658,0.04907484414157847,0.001161192252766341,0.06658072764791238
1,caption,random440_expressivespeech_281,4,"[-1.1508308067917823, -1.1393165496488413, -1.1691277084251246, -1.1695771969854831]",-1.1572130654628079,0.0302606473366418,0.01280477420000965,0.011514257142940965,0.01817980727387795
1,caption,random440_expressivespeech_094,4,"[-1.7009551851078868, -1.6970008282223716, -1.7271132173482329, -1.7163648917339742]",-1.7103585306031164,0.030112389125861228,0.012079393831609166,0.003954356885515153,0.017624479000611853
1,caption,random440_expressivespeech_152,4,"[-1.6421063079833402, -1.634554745425703, -1.5632239414044307, -1.5334881684539141]",-1.593343290816847,0.10861813952942612,0.04627641601363054,0.029735772950516548,0.06619753710159178
1,caption,random440_deear_094,4,"[-1.6117806628346443, -1.8484465373059114, -1.6352371423194805, -1.6490472190082073]",-1.686127890367061,0.23666587447126708,0.09465687747211204,0.0234564794848362,0.12063461668375468
1,caption,random440_expressivespeech_091,4,"[-1.5755364354408812, -1.416500047838781, -1.5551921633305028, -1.5858794848900288]",-1.5332770328750485,0.1693794370512478,0.0683191266049443,0.13869211549172178,0.0880804305440203
1,caption,random440_expressivespeech_194,4,"[-2.0225630892440676, -1.8402466466029486, -1.922056058421731, -1.854470049838225]",-1.909833961026743,0.18231644264111901,0.07204997051383283,0.014223403235276377,0.10242255608447719
1,caption,random440_deear_034,4,"[-1.3954792801678801, -1.3643760547662775, -1.4431923317257316, -1.3533226602322732]",-1.3890925817230406,0.08986967149345837,0.03484955830293634,0.011053394534004335,0.05011870664699628
1,caption,random440_expressivespeech_171,4,"[-1.3170747288677376, -1.3265857977676205, -1.3178541774323094, -1.3610885806847364]",-1.330650821188101,0.044013851816998795,0.017965564231939273,0.0007794485645717941,0.02346219596438459
1,caption,random440_expressivespeech_052,4,"[-1.6525833604428044, -1.729178227018565, -1.8077669741760474, -1.7464477331341186]",-1.7339940736928838,0.15518361373324296,0.055336315133586125,0.07659486657576053,0.08047005788588042
1,caption,random440_deear_059,4,"[-1.4944299941998906, -1.5260798507370055, -1.522719983709976, -1.5409560111584142]",-1.5210464599513216,0.04652601695852354,0.01682975180251574,0.028289989510085434,0.023822986317100003
1,caption,random440_expressivespeech_203,4,"[-1.936367641435936, -1.9849293521838263, -1.8776485453126952, -1.957855504588224]",-1.9392002608801704,0.10728080687113106,0.039483557753450325,0.05871909612324089,0.05722171396094685
1,caption,random440_expressivespeech_201,4,"[-1.457233378838282, -1.584024446143303, -1.6650751646520803, -1.6584514968562871]",-1.5911961216224881,0.2078417858137982,0.08363439465951422,0.126791067305021,0.11632540135906311
1,caption,random440_deear_085,4,"[-1.4571313266952832, -1.46793923911949, -1.478258723889788, -1.484293093966941]",-1.4719055959178755,0.027161767271657755,0.010341945661441481,0.010807912424206867,0.015300797764211857
1,caption,random440_expressivespeech_189,4,"[-1.7068284825732312, -1.8057738844305278, -1.6296804323792458, -1.8082125023007394]",-1.737623825420936,0.17853206992149362,0.0745441498192726,0.0771480501939854,0.10575693527029624
1,caption,random440_expressivespeech_161,4,"[-1.5934014924860094, -1.4409258551313542, -1.4928613343217876, -1.5309065039618872]",-1.5145237964752596,0.1524756373546552,0.05562374328730539,0.0519354791904334,0.08257868028401087
1,caption,random440_expressivespeech_117,4,"[-1.581991504994221, -1.5749206446344033, -1.5496670507709496, -1.5973062278935686]",-1.5759713570732856,0.047639177122619,0.017207842838255775,0.025253593863453716,0.024998065287945792
